prime,length,reciprocal
3221,3220,0.0003104625892579944
3229,1076,0.0003096934035305048
3251,3250,0.00030759766225776686
3253,542,0.0003074085459575776
3257,3256,0.00030703101013202335
3259,3258,0.0003068425897514575
3271,1635,0.0003057169061449098
3299,3298,0.0003031221582297666
3301,3300,0.0003029385034837928
3307,1653,0.0003023888720895071
3313,3312,0.00030184123151222455
3319,553,0.00030129557095510696
3323,1661,0.0003009328919650918
3329,832,0.00030039050765995795
3331,3330,0.0003002101471029721
3343,3342,0.0002991325157044571
3347,1673,0.00029877502240812666
3359,1679,0.00029770765108663293
3361,1680,0.0002975304968759298
3371,3370,0.0002966478789676654
3373,843,0.0002964719833975689
3389,3388,0.00029507229271171436
3391,1695,0.0002948982601002654
3407,3406,0.000293513354857646
3413,1706,0.0002929973630237328
3433,3432,0.00029129041654529564
3449,431,0.00028993911278631486
3457,384,0.0002892681515765114
3461,3460,0.0002889338341519792
3463,3462,0.00028876696505919725
3467,1733,0.00028843380444188056
3469,3468,0.0002882675122513693
3491,698,0.0002864508736751647
3499,318,0.0002857959416976279
3511,1755,0.0002848191398461977
3517,879,0.0002843332385555871
3527,3526,0.0002835270768358378
3529,1764,0.00028336639274582036
3533,1766,0.0002830455703368242
3539,3538,0.00028256569652444194
3541,20,0.0002824060999717594
3547,1773,0.000281928390188892
3557,254,0.000281135788585887
3559,1779,0.0002809778027535825
3571,3570,0.0002800336040324839
3581,3580,0.00027925160569673273
3583,1194,0.00027909572983533354
3593,3592,0.00027831895352073476
3607,3606,0.0002772387025228722
3613,602,0.0002767783005812344
3617,3616,0.0002764722145424385
3623,3622,0.0002760143527463428
3631,1815,0.0002754062241806665
3637,909,0.00027495188342040145
3643,1821,0.0002744990392533626
3659,3658,0.00027329871549603714
3671,367,0.00027240533914464724
3673,3672,0.0002722570106180234
3677,1838,0.0002719608376393799
3691,1230,0.000270929287455974
3697,1232,0.0002704895861509332
3701,3700,0.0002701972439881113
3709,3708,0.00026961445133459155
3719,1859,0.00026888948642108095
3727,3726,0.00026831231553528306
3733,933,0.0002678810608090008
3739,1246,0.0002674511901577962
3761,1880,0.00026588673225206064
3767,3766,0.0002654632333421821
3769,1884,0.0002653223666755107
3779,3778,0.0002646202699126753
3793,1264,0.0002636435539151068
3797,949,0.0002633658151171978
3803,1901,0.00026295030239284776
3821,3820,0.00026171159382360636
3823,1274,0.0002615746795710175
3833,3832,0.00026089225150013044
3847,3846,0.0002599428125812321
3851,770,0.00025967281225655674
3853,963,0.0002595380223202699
3863,3862,0.0002588661661920787
3877,969,0.00025793139025019347
3881,1940,0.0002576655501159495
3889,1944,0.00025713551041398817
3907,1953,0.0002559508574353724
3911,1955,0.00025568908207619537
3917,1958,0.0002552974214960429
3919,653,0.00025516713447307985
3923,1961,0.0002549069589599796
3929,491,0.00025451768897938407
3931,1310,0.0002543881963876876
3943,3942,0.000253613999492772
3947,1973,0.0002533569799847986
3967,3966,0.00025207965717166626
3989,3988,0.000250689395838556
4001,500,0.00024993751562109475
4003,87,0.0002498126405196103
4007,4006,0.0002495632642874969
4013,34,0.00024919013207077
4019,4018,0.0002488181139586962
4021,268,0.0002486943546381497
4027,2013,0.00024832381425378696
4049,2024,0.0002469745616201531
4051,4050,0.00024685262898049864
4057,4056,0.00024648755237860487
4073,4072,0.00024551927326295114
4079,2039,0.00024515812699190976
4091,4090,0.0002444390124663896
4093,22,0.0002443195699975568
4099,4098,0.00024396194193705782
4111,2055,0.00024324981756263683
4127,4126,0.000242306760358614
4129,2064,0.0002421893921046258
4133,1033,0.00024195499637067505
4139,4138,0.00024160425223483932
4153,4152,0.00024078979051288225
4157,2078,0.00024055809477988935
4159,693,0.00024044241404183698
4177,4176,0.00023940627244433804
4201,75,0.00023803856224708403
4211,4210,0.00023747328425552126
4217,4216,0.00023713540431586437
4219,4218,0.00023702299123014932
4229,4228,0.00023646252069047056
4231,2115,0.0002363507445048452
4241,1060,0.0002357934449422306
4243,2121,0.00023568230025925054
4253,1063,0.00023512814483893723
4259,4258,0.00023479690068091102
4261,4260,0.0002346866932644919
4271,2135,0.00023413720440177945
4273,1424,0.0002340276152586005
4283,2141,0.00023348120476301658
4289,2144,0.00023315458148752622
4297,1432,0.00023272050267628578
4327,4326,0.00023110700254217703
4337,4336,0.00023057412958266084
4339,4338,0.00023046784973496196
4349,4348,0.00022993791676247414
4357,242,0.00022951572182694515
4363,2181,0.00022920009168003668
4373,1093,0.000228675966155957
4391,2195,0.0002277385561375541
4397,314,0.00022742779167614282
4409,551,0.00022680880018144704
4421,4420,0.00022619316896629722
4423,4422,0.00022609088853719196
4441,2220,0.00022517451024544022
4447,4446,0.00022487069934787497
4451,4450,0.00022466861379465288
4457,4456,0.0002243661655822302
4463,4462,0.00022406453058480843
4481,2240,0.0002231644722160232
4483,249,0.00022306491188935982
4493,1123,0.00022256843979523704
4507,751,0.00022187708009762592
4513,1504,0.00022158209616662973
4517,2258,0.00022138587558113792
4519,753,0.0002212878955521133
4523,2261,0.00022109219544550078
4547,2273,0.00021992522542335605
4549,1516,0.00021982853374367993
4561,2280,0.00021925016443762334
4567,4566,0.0002189621195533173
4583,4582,0.0002181976871045167
4591,2295,0.00021781746896101068
4597,2298,0.00021753317380900588
4603,2301,0.00021724961981316532
4621,924,0.00021640337589266391
4637,61,0.00021565667457407807
4639,2319,0.0002155636990730761
4643,2321,0.00021537798836958864
4649,7,0.0002151
4651,4650,0.00021500752526338422
4657,1552,0.00021473051320592657
4663,222,0.0002144542140253056
4673,4672,0.00021399529210357372
4679,2339,0.00021372088053002778
4691,4690,0.00021317416329140907
4703,4702,0.00021263023601956197
4721,2360,0.00021181952976064393
4723,2361,0.00021172983273343214
4729,1182,0.00021146119687037428
4733,1183,0.00021128248468201986
4751,2375,0.00021048200378867606
4759,2379,0.0002101281781886951
4783,4782,0.0002090738030524775
4787,2393,0.00020889910173386254
4789,228,0.00020881186051367718
4793,4792,0.00020863759649488838
4799,2399,0.00020837674515524068
4801,800,0.00020828993959591752
4813,802,0.00020777062123415748
4817,4816,0.00020759809009757111
4831,805,0.00020699648105982198
4861,972,0.0002057189878625797
4871,2435,0.00020529665366454526
4877,1219,0.0002050440844781628
4889,2444,0.00020454080589077522
4903,1634,0.00020395676116663266
4909,1636,0.00020370747606437156
4919,2459,0.00020329335230737954
4931,4930,0.00020279862096937742
4933,2466,0.00020271639975674033
4937,4936,0.00020255215718047398
4943,4942,0.00020230629172567267
4951,2475,0.00020197939810139365
4957,413,0.00020173492031470649
4967,4966,0.00020132876988121604
4969,828,0.0002012477359629704
